target,split,test/accuracy,test/f1,test/roc_auc,model
Class,0,0.9835526315789473,0.9752495871040002,0.9987044843223435,LogReg
Class,0,0.9868421052631579,0.9806714590668625,0.9999181604603175,RF
Class,0,0.9851973684210527,0.9733195551440555,0.9997418264836568,XGB
Class,1,0.9876644736842105,0.9825773029635096,0.9997926403065523,LogReg
Class,1,0.990953947368421,0.9907170488790067,0.9999457399708369,RF
Class,1,0.9893092105263158,0.9808817131237241,0.9999148158816131,XGB
Class,2,0.9884868421052632,0.9818982554608594,0.9988284484694816,LogReg
Class,2,0.993421052631579,0.9885675774343723,0.9998696378550196,RF
Class,2,0.9925986842105263,0.986506351793931,0.9998955676546558,XGB
Class,3,0.9925986842105263,0.9902115431108143,0.9997626331434845,LogReg
Class,3,0.993421052631579,0.9906598732622024,0.99998030519831,RF
Class,3,0.9901315789473685,0.9811048133220526,0.9999773524653648,XGB
Class,4,0.993421052631579,0.9926234812913813,0.9990844446915487,LogReg
Class,4,0.9925986842105263,0.9901048031105633,0.999847994218628,RF
Class,4,0.9917763157894737,0.9855794488398726,0.9999187801660014,XGB
